order_id,order_date,customer_name,email,country,sku,qty,unit_price,channel
1100,04/07/2025,Priya  Chen,priya.chen@mail.com,USA,SKU-009,4,$9.05,Website
1101,04-25-2025,Zain Siddiqui,zain.siddiqui@example.com,United States,SKU-007,2,0,Website
1102,2025-06-14,Sophia Smith,SOPHIA.SMITH@MARKETPLACE.NET,PAKISTAN,SKU-010,3,30.45,Website
1103,07-07-2025,Ayesha Abbas,ayesha.abbas@mail.com,pakistan,SKU-005,1,$3.32,Website
1104,2025/08/06,Zain Ali,zain.ali@example.com,usa,SKU-006,1,14.13,Marketplace
1105,2025-04-24,Michael Abbas,michael.abbas@eml.com,india,SKU-007,4,0,Website
1106,08-16-2025,Ali Williams,ali.williams@marketplace.net,pak,SKU-009,5,$10.71,Website
1107,08/08/2025, Anil Siddiqui ,anil.siddiqui@hotmail.com,PAKISTAN,SKU-009,5,10.81,Marketplace
1108,06/01/2025,Ali Ahmad,ali.ahmad@example.com,pak,SKU-001,3,21.5,Marketplace
1109,24/09/2025,Hassan Brown,hassan.brown@mail.com,pak,SKU-009,5,$10.73,Website
1110,2025-09-09,Rahul Gupta,rahul.gupta@marketplace.net,pakistan,SKU-002,5,"""$12,634803806061198""",Website
1111,2025-05-19,Olivia Patel,olivia.patel@hotmail.com,India,SKU-003,5,$5.08,Marketplace
1112,24/07/2025,Omar Siddiqui,omar.siddiqui@hotmail.com,UAE,SKU-002,3,$13.25,Website
1113,02/08/2025,Faizan Johnson,faizan.johnson @ eml.com,UAE,SKU-009,1,10.84,Website
1114,2025-08-17,Ali  Noor,ali.noor@marketplace.net,United Arab Emirates,SKU-009,4,$9.30,Website
1115,24/08/2025,Amna Ali,amna@example,India,SKU-002,1,12.74,Website
1116,2025-04-19,Ahmed Siddiqui,ahmed.siddiqui@shop.com,pakistan,SKU-006,4,13.89,Marketplace
1117,09/15/2025,Emily Hassan,emily.hassan@mail.com,USA,SKU-004,2,"""$7,4072768595115654""",Marketplace
1118,06/07/2025,Anil Miller,anil.miller@mail.com,USA,SKU-009,3,10.2,Website
1119,2025-04-29,Olivia Smith,olivia@example,Pakistan,SKU-003,3,$4.66,Marketplace
1120,06/30/2025,Michael  Ahmad,michael.ahmad@eml.com,United States,SKU-001,1,$21.58,Website
1121,06-03-2025,Bilal Singh,bilal.singh@mail.com,United States,SKU-007,one,$0.00,Marketplace
1122,04-18-2025,Ayesha  Johnson,ayesha.johnson@mail.com,pak,SKU-006,2,14.17,Marketplace
1123,2025/06/20,Rahul Brown,rahul.brown@example.com,PAKISTAN,SKU-003,3,"""$4,538257197353262""",Marketplace
1124,2025-09-17,Ayesha Davis,ayesha.davis@hotmail.com,India,SKU-009,2,$9.72,Marketplace
