order_id,order_date,customer_name,email,country,sku,qty,unit_price,channel,total,email_valid
1177,2025-12-07,Omar Kumar,omar.kumar@shop.com,India,SKU-008,3.0,20.19,Website,60.57,True
1276,2025-12-04,Priya Siddiqui,priya.siddiqui@hotmail.com,USA,SKU-010,5.0,31.03,Website,155.15,True
1298,2025-12-08,Faizan Brown,faizan.brown@hotmail.com,USA,SKU-006,4.0,,Website,,True
1307,2025-12-09,Omar  Khan,omar.khan@@hotmail.com,USA,SKU-003,1.0,4.72,Marketplace,4.72,False
1404,2025-12-08,Bilal Miller,bilal.miller@@shop.com,UAE,SKU-002,4.0,11.31,Website,45.24,False
1451,2025-12-06,Sara Khan,sara.khan@mail.com,USA,SKU-001,1.0,,Marketplace,,True
1454,2025-12-09,Sonia Smith,sonia.smith@mail.com,Pakistan,SKU-004,2.0,7.72,Marketplace,15.44,True
1470,2025-12-04,John Singh,john.singh@mail.com,India,SKU-004,5.0,8.17,Website,40.85,True
1482,2025-12-07,Meera Qureshi,meera.qureshi@hotmail.com,Pakistan,SKU-006,4.0,16.2,Website,64.8,True
1530,2025-12-04,Rahul Iqbal,rahul.iqbal@example.com,USA,SKU-001,4.0,19.81,Website,79.24,True
1540,2025-12-07,Sara Kumar,sara.kumar@example.com,USA,SKU-007,4.0,,Marketplace,,True
1620,2025-12-08,Nida Hassan,nida.hassan@marketplace.net,USA,SKU-001,1.0,20.65,Website,20.65,True
1651,2025-12-06,Ali Ahmad,ali.ahmad@marketplace.net,Pakistan,SKU-003,4.0,4.51,Website,18.04,True
1652,2025-12-07,Sonia  Davis,sonia.davis@marketplace.net,Pakistan,SKU-002,5.0,12.49,Website,62.45,True
1667,2025-12-09,Laiba Miller,laiba.miller@hotmail.com,UAE,SKU-001,4.0,19.53,Website,78.12,True
1761,2025-12-05,Omar Hassan,omar.hassan@@mail.com,India,SKU-006,4.0,16.19,Marketplace,64.76,False
1781,2025-12-05,Ava Tariq,ava@example,Pakistan,SKU-006,2.0,16.01,Website,32.02,False
1899,2025-12-07,Bilal  Doe,bilal.doe @ hotmail.com,Pakistan,SKU-001,3.0,21.93,Website,65.79,False
1986,2025-12-05,Ayesha O'Brien,ayesha.obrien@mail.com,India,SKU-006,3.0,14.89,Website,44.67,True
2003,2025-12-07,Noor Chen,noor@example,Pakistan,SKU-003,4.0,,Marketplace,,False
2072,2025-12-06,Zain Singh,zain.singh@shop.com,India,SKU-006,5.0,13.92,Website,69.6,True
2099,2025-12-08,Sara Kumar,sara.kumar@hotmail.com,India,SKU-002,1.0,,Website,,True
2149,2025-12-07,Ayesha O'Brien,ayesha.obrien@eml.com,UAE,SKU-007,5.0,,Website,,True
2286,2025-12-08,Meera O'Brien,meera.obrien@example.com,USA,SKU-010,4.0,,Website,,True
2437,2025-12-07,Priya Kumar,priya.kumar@example.com,USA,SKU-005,5.0,3.2,Website,16.0,True
2451,2025-12-07,Liam Akram,liam.akram@eml.com,USA,SKU-006,5.0,14.86,Marketplace,74.3,True
2488,2025-12-05,Huda Akram,huda.akram@hotmail.com,India,SKU-007,1.0,,Website,,True
2501,2025-12-08,Noor Yadav,noor.yadav@mail.com,India,SKU-009,1.0,,Marketplace,,True
2507,2025-12-04,Sara Khan,sara.khan@@marketplace.net,Pakistan,SKU-006,1.0,15.69,Website,15.69,False
2547,2025-12-07,Anil Singh,anil.singh@@mail.com,Pakistan,SKU-008,1.0,21.19,Website,21.19,False
2570,2025-12-06,Sophia  Hassan,sophia.hassan@shop.com,USA,SKU-007,5.0,0.0,Website,0.0,True
2587,2025-12-06,Meera Smith,meera.smith@mail.com,UAE,SKU-006,4.0,15.3,Marketplace,61.2,True
2705,2025-12-09,Ayesha Iqbal,ayesha.iqbal@marketplace.net,India,SKU-010,4.0,27.09,Marketplace,108.36,True
2728,2025-12-08,Sara Sharma,sara.sharma@shop.com,UAE,SKU-002,5.0,12.07,Website,60.35,True
2836,2025-12-08,Sara Tariq,sara.tariq@eml.com,UAE,SKU-001,2.0,18.19,Marketplace,36.38,True
2845,2025-12-04,Faizan Smith,faizan@example,Pakistan,SKU-008,1.0,20.61,Marketplace,20.61,False
2919,2025-12-08,Laiba Zafar,LAIBA.ZAFAR@MARKETPLACE.NET,India,SKU-009,4.0,10.9,Marketplace,43.6,True
2934,2025-12-05,Noah O'Brien,noah.obrien@shop.com,India,SKU-008,2.0,19.84,Marketplace,39.68,True
2946,2025-12-08,Rahul Raza,rahul.raza @ marketplace.net,UAE,SKU-003,2.0,5.42,Marketplace,10.84,False
2962,2025-12-09,Olivia Ali,olivia.ali@mail.com,Pakistan,SKU-005,,,Marketplace,,True
2993,2025-12-07,Jane Iqbal,JANE.IQBAL@SHOP.COM,UAE,SKU-001,5.0,18.47,Website,92.35,True
3102,2025-12-06,Usman Khan,usman.khan@shop.com,UAE,SKU-004,4.0,8.11,Website,32.44,True
